N,P,K,temperature,humidity,ph,rainfall,crop_yield,label
25.9,50.23,15.17,26.41,86.51,6.01,65.73,0.89,mungbean
13.3,17.54,28.2,26.56,99.76,5.69,195.38,70.11,coconut
90.97,47.82,15.0,19.49,69.2,6.36,66.42,5.13,maize
107.4,19.68,52.36,27.61,94.69,6.01,18.24,15.19,muskmelon
86.87,44.63,6.98,21.6,67.18,6.32,88.54,4.43,maize
25.18,55.62,15.15,19.2,23.71,5.81,90.48,1.41,kidneybeans
24.47,14.92,45.72,21.37,91.26,5.81,65.94,7.67,pomegranate
46.93,46.5,46.26,29.56,88.66,6.71,153.97,27.12,papaya
75.91,55.87,46.74,23.52,70.33,7.15,100.73,3.52,wheat
121.93,44.56,13.85,21.2,91.99,6.56,72.22,1.96,cotton
44.7,65.2,52.45,36.89,94.88,6.4,101.92,21.25,papaya
29.74,55.32,16.3,25.33,51.07,6.93,54.4,1.15,mothbeans
14.23,53.5,11.03,17.29,17.87,6.29,97.11,1.55,kidneybeans
27.36,133.37,199.94,22.68,100.0,6.3,127.02,8.17,apple
117.46,22.5,31.39,26.08,53.7,7.21,150.81,1.38,coffee
111.37,15.97,60.27,26.79,80.7,6.7,46.95,28.1,watermelon
107.73,19.44,53.35,20.93,86.5,6.0,56.46,32.37,watermelon
22.53,112.67,183.6,22.34,92.68,5.83,120.38,10.02,apple
14.7,17.6,26.36,24.56,91.86,6.22,166.69,70.65,coconut
19.35,42.92,20.75,29.54,64.91,7.05,63.6,0.8,mothbeans
12.9,22.71,30.99,31.98,50.74,6.11,113.66,6.58,mango
48.76,60.8,61.07,34.42,93.0,6.41,161.78,21.32,papaya
20.56,15.18,23.71,26.56,89.98,6.08,208.66,42.73,coconut
88.66,56.68,20.77,25.43,76.94,6.38,88.01,1.78,cotton
15.69,67.24,9.24,21.75,15.32,6.15,100.05,1.44,kidneybeans
21.51,48.19,12.94,29.61,54.2,7.02,33.07,0.96,mothbeans
46.56,65.44,20.49,32.33,54.38,7.22,101.03,0.74,blackgram
96.83,75.57,54.57,29.78,82.35,5.93,85.27,32.58,banana
20.04,128.0,187.29,21.02,81.74,5.68,101.79,9.65,apple
79.38,42.87,41.67,20.61,62.83,6.71,83.33,2.96,wheat
19.09,31.19,17.15,25.64,53.17,6.44,61.26,0.88,mothbeans
19.41,38.76,19.38,28.62,49.72,6.73,42.61,1.12,mothbeans
116.84,29.64,28.39,23.36,68.11,6.96,134.41,1.15,coffee
23.45,43.44,20.7,27.91,81.37,6.67,47.56,0.77,mungbean
10.79,74.14,17.05,28.4,49.13,5.24,152.29,1.86,pigeonpeas
105.48,46.17,23.15,24.31,80.45,7.24,68.91,1.73,cotton
80.46,39.79,59.15,24.27,71.87,6.56,180.15,5.18,rice
88.58,43.72,41.85,20.99,81.91,6.41,209.68,3.84,rice
12.06,50.6,25.3,25.23,65.44,6.77,40.71,1.08,lentil
80.83,45.93,22.93,19.58,69.36,5.8,71.9,7.44,maize
117.21,46.64,19.06,25.35,77.92,7.07,77.83,2.35,cotton
15.35,37.93,18.27,26.83,84.89,6.27,58.59,1.03,mungbean
105.63,41.74,23.25,25.2,78.79,6.56,69.76,1.64,cotton
10.26,54.83,15.95,29.71,85.66,6.71,47.15,1.04,mungbean
29.36,138.97,171.41,19.47,92.28,5.62,53.63,12.7,apple
17.01,69.67,25.5,25.34,61.43,7.25,43.0,1.05,lentil
15.74,124.22,198.23,20.46,87.57,5.93,82.9,7.98,apple
30.28,137.78,206.19,23.08,95.06,5.88,106.59,10.33,apple
80.46,50.47,43.13,22.18,84.12,6.79,159.12,2.13,jute
28.49,120.28,172.71,26.74,75.03,6.16,71.04,4.97,grapes
22.09,18.84,38.3,22.92,93.23,6.19,83.44,7.57,pomegranate
29.36,128.73,195.53,23.91,89.37,6.22,59.54,7.95,grapes
23.93,42.52,5.83,30.72,89.8,6.18,42.92,1.11,mungbean
104.7,14.3,57.95,26.49,82.9,6.51,44.09,26.64,watermelon
127.51,33.44,17.05,22.84,82.74,6.53,78.52,1.59,cotton
